date,sound_level.value
11/27/2025 4:54:14.114000000 PM,3
11/27/2025 4:54:14.225000000 PM,3
11/27/2025 4:54:14.340000000 PM,4
11/27/2025 4:54:14.450000000 PM,3
11/27/2025 4:54:14.565000000 PM,4
11/27/2025 4:54:14.676000000 PM,3
11/27/2025 4:54:14.790000000 PM,4
11/27/2025 4:54:14.901000000 PM,3
11/27/2025 4:54:15.015000000 PM,3
11/27/2025 4:54:15.126000000 PM,3
11/27/2025 4:54:15.241000000 PM,4
11/27/2025 4:54:15.351000000 PM,3
11/27/2025 4:54:15.462000000 PM,3
11/27/2025 4:54:15.577000000 PM,3
11/27/2025 4:54:15.687000000 PM,3
11/27/2025 4:54:15.802000000 PM,3
11/27/2025 4:54:15.913000000 PM,3
11/27/2025 4:54:16.027000000 PM,3
11/27/2025 4:54:16.138000000 PM,3
11/27/2025 4:54:16.252000000 PM,3
11/27/2025 4:54:16.363000000 PM,2
11/27/2025 4:54:16.478000000 PM,3
11/27/2025 4:54:16.588000000 PM,3
11/27/2025 4:54:16.703000000 PM,3
11/27/2025 4:54:16.814000000 PM,3
11/27/2025 4:54:16.928000000 PM,4
11/27/2025 4:54:17.041000000 PM,3
11/27/2025 4:54:17.150000000 PM,4
11/27/2025 4:54:17.264000000 PM,3
11/27/2025 4:54:17.375000000 PM,3
11/27/2025 4:54:17.492000000 PM,4
11/27/2025 4:54:17.600000000 PM,3
11/27/2025 4:54:17.715000000 PM,3
11/27/2025 4:54:17.825000000 PM,2
11/27/2025 4:54:17.940000000 PM,3
11/27/2025 4:54:18.051000000 PM,3
11/27/2025 4:54:18.166000000 PM,3
11/27/2025 4:54:18.276000000 PM,3
11/27/2025 4:54:18.390000000 PM,3
11/27/2025 4:54:18.501000000 PM,3
11/27/2025 4:54:18.612000000 PM,3
11/27/2025 4:54:18.726000000 PM,4
11/27/2025 4:54:18.837000000 PM,3
11/27/2025 4:54:18.952000000 PM,3
11/27/2025 4:54:19.062000000 PM,3
11/27/2025 4:54:19.177000000 PM,3
11/27/2025 4:54:19.288000000 PM,3
11/27/2025 4:54:19.402000000 PM,3
11/27/2025 4:54:19.513000000 PM,3
11/27/2025 4:54:19.627000000 PM,4
11/27/2025 4:54:19.740000000 PM,3
11/27/2025 4:54:19.853000000 PM,3
11/27/2025 4:54:19.963000000 PM,4
11/27/2025 4:54:20.078000000 PM,3
11/27/2025 4:54:20.189000000 PM,2
11/27/2025 4:54:20.299000000 PM,3
11/27/2025 4:54:20.414000000 PM,3
11/27/2025 4:54:20.525000000 PM,3
11/27/2025 4:54:20.639000000 PM,4
11/27/2025 4:54:20.750000000 PM,3
11/27/2025 4:54:20.865000000 PM,3
11/27/2025 4:54:20.975000000 PM,4
11/27/2025 4:54:21.090000000 PM,3
11/27/2025 4:54:21.200000000 PM,3
11/27/2025 4:54:21.315000000 PM,3
11/27/2025 4:54:21.426000000 PM,3
11/27/2025 4:54:21.540000000 PM,3
11/27/2025 4:54:21.651000000 PM,3
11/27/2025 4:54:21.762000000 PM,3
11/27/2025 4:54:21.876000000 PM,3
11/27/2025 4:54:21.987000000 PM,3
11/27/2025 4:54:22.102000000 PM,3
11/27/2025 4:54:22.212000000 PM,4
11/27/2025 4:54:22.327000000 PM,3
11/27/2025 4:54:22.437000000 PM,3
11/27/2025 4:54:22.552000000 PM,3
11/27/2025 4:54:22.663000000 PM,3
11/27/2025 4:54:22.777000000 PM,3
11/27/2025 4:54:22.888000000 PM,3
11/27/2025 4:54:23.003000000 PM,3
11/27/2025 4:54:23.113000000 PM,3
11/27/2025 4:54:23.228000000 PM,3
11/27/2025 4:54:23.338000000 PM,3
11/27/2025 4:54:23.449000000 PM,3
11/27/2025 4:54:23.564000000 PM,3
11/27/2025 4:54:23.674000000 PM,3
11/27/2025 4:54:23.789000000 PM,3
11/27/2025 4:54:23.900000000 PM,3
11/27/2025 4:54:24.014000000 PM,4
11/27/2025 4:54:24.125000000 PM,3
11/27/2025 4:54:24.240000000 PM,5
11/27/2025 4:54:24.350000000 PM,3
11/27/2025 4:54:24.465000000 PM,4
11/27/2025 4:54:24.576000000 PM,3
11/27/2025 4:54:24.690000000 PM,4
11/27/2025 4:54:24.801000000 PM,3
11/27/2025 4:54:24.911000000 PM,3
11/27/2025 4:54:25.026000000 PM,3
11/27/2025 4:54:25.137000000 PM,3
11/27/2025 4:54:25.251000000 PM,3
11/27/2025 4:54:25.362000000 PM,4
11/27/2025 4:54:25.477000000 PM,3
11/27/2025 4:54:25.587000000 PM,2
11/27/2025 4:54:25.702000000 PM,2
11/27/2025 4:54:25.812000000 PM,3
11/27/2025 4:54:25.927000000 PM,4
11/27/2025 4:54:26.038000000 PM,3
11/27/2025 4:54:26.152000000 PM,3
11/27/2025 4:54:26.263000000 PM,4
11/27/2025 4:54:26.378000000 PM,3
11/27/2025 4:54:26.489000000 PM,3
11/27/2025 4:54:26.599000000 PM,3
11/27/2025 4:54:26.714000000 PM,3
11/27/2025 4:54:26.824000000 PM,3
11/27/2025 4:54:26.939000000 PM,3
11/27/2025 4:54:27.049000000 PM,4
11/27/2025 4:54:27.164000000 PM,3
11/27/2025 4:54:27.275000000 PM,3
11/27/2025 4:54:27.392000000 PM,3
11/27/2025 4:54:27.501000000 PM,3
11/27/2025 4:54:27.615000000 PM,4
11/27/2025 4:54:27.725000000 PM,3
11/27/2025 4:54:27.840000000 PM,3
11/27/2025 4:54:27.951000000 PM,3
11/27/2025 4:54:28.061000000 PM,3
11/27/2025 4:54:28.176000000 PM,3
11/27/2025 4:54:28.286000000 PM,4
11/27/2025 4:54:28.401000000 PM,3
11/27/2025 4:54:28.512000000 PM,3
11/27/2025 4:54:28.626000000 PM,4
11/27/2025 4:54:28.737000000 PM,3
11/27/2025 4:54:28.852000000 PM,3
11/27/2025 4:54:28.962000000 PM,4
11/27/2025 4:54:29.077000000 PM,3
11/27/2025 4:54:29.188000000 PM,3
11/27/2025 4:54:29.302000000 PM,3
11/27/2025 4:54:29.413000000 PM,2
11/27/2025 4:54:29.527000000 PM,3
11/27/2025 4:54:29.638000000 PM,3
11/27/2025 4:54:29.749000000 PM,3
11/27/2025 4:54:29.863000000 PM,3
11/27/2025 4:54:29.974000000 PM,3
11/27/2025 4:54:30.089000000 PM,3
11/27/2025 4:54:30.199000000 PM,3
11/27/2025 4:54:30.314000000 PM,3
11/27/2025 4:54:30.425000000 PM,4
11/27/2025 4:54:30.539000000 PM,3
11/27/2025 4:54:30.650000000 PM,3
11/27/2025 4:54:30.764000000 PM,4
11/27/2025 4:54:30.875000000 PM,3
11/27/2025 4:54:30.990000000 PM,5
11/27/2025 4:54:31.101000000 PM,4
11/27/2025 4:54:31.214000000 PM,4
11/27/2025 4:54:31.326000000 PM,4
11/27/2025 4:54:31.436000000 PM,4
11/27/2025 4:54:31.551000000 PM,4
11/27/2025 4:54:31.661000000 PM,3
11/27/2025 4:54:31.776000000 PM,4
11/27/2025 4:54:31.887000000 PM,4
11/27/2025 4:54:32.001000000 PM,4
11/27/2025 4:54:32.112000000 PM,5
11/27/2025 4:54:32.227000000 PM,6
11/27/2025 4:54:32.337000000 PM,6
11/27/2025 4:54:32.452000000 PM,5
11/27/2025 4:54:32.563000000 PM,6
11/27/2025 4:54:32.677000000 PM,6
11/27/2025 4:54:32.788000000 PM,4
11/27/2025 4:54:32.899000000 PM,5
11/27/2025 4:54:33.013000000 PM,4
11/27/2025 4:54:33.124000000 PM,4
11/27/2025 4:54:33.238000000 PM,6
11/27/2025 4:54:33.349000000 PM,5
11/27/2025 4:54:33.464000000 PM,4
11/27/2025 4:54:33.574000000 PM,3
11/27/2025 4:54:33.689000000 PM,4
11/27/2025 4:54:33.800000000 PM,3
11/27/2025 4:54:33.914000000 PM,4
11/27/2025 4:54:34.025000000 PM,3
11/27/2025 4:54:34.139000000 PM,3
11/27/2025 4:54:34.250000000 PM,3
11/27/2025 4:54:34.361000000 PM,3
11/27/2025 4:54:34.476000000 PM,3
11/27/2025 4:54:34.586000000 PM,3
11/27/2025 4:54:34.701000000 PM,4
11/27/2025 4:54:34.811000000 PM,2
11/27/2025 4:54:34.926000000 PM,3
11/27/2025 4:54:35.037000000 PM,3
11/27/2025 4:54:35.151000000 PM,3
11/27/2025 4:54:35.262000000 PM,3
11/27/2025 4:54:35.377000000 PM,3
11/27/2025 4:54:35.487000000 PM,3
11/27/2025 4:54:35.602000000 PM,7
11/27/2025 4:54:35.712000000 PM,3
11/27/2025 4:54:35.823000000 PM,4
11/27/2025 4:54:35.938000000 PM,3
11/27/2025 4:54:36.048000000 PM,3
11/27/2025 4:54:36.163000000 PM,3
11/27/2025 4:54:36.274000000 PM,3
11/27/2025 4:54:36.388000000 PM,3
11/27/2025 4:54:36.499000000 PM,3
11/27/2025 4:54:36.613000000 PM,3
11/27/2025 4:54:36.724000000 PM,4
11/27/2025 4:54:36.839000000 PM,3
11/27/2025 4:54:36.950000000 PM,3
11/27/2025 4:54:37.064000000 PM,3
11/27/2025 4:54:37.175000000 PM,4
11/27/2025 4:54:37.289000000 PM,3
11/27/2025 4:54:37.400000000 PM,3
11/27/2025 4:54:37.511000000 PM,3
11/27/2025 4:54:37.625000000 PM,3
11/27/2025 4:54:37.736000000 PM,3
11/27/2025 4:54:37.850000000 PM,3
11/27/2025 4:54:37.961000000 PM,3
11/27/2025 4:54:38.076000000 PM,4
11/27/2025 4:54:38.186000000 PM,3
11/27/2025 4:54:38.301000000 PM,3
11/27/2025 4:54:38.412000000 PM,3
11/27/2025 4:54:38.526000000 PM,3
11/27/2025 4:54:38.637000000 PM,3
11/27/2025 4:54:38.752000000 PM,3
11/27/2025 4:54:38.862000000 PM,3
11/27/2025 4:54:38.973000000 PM,3
11/27/2025 4:54:39.087000000 PM,3
11/27/2025 4:54:39.198000000 PM,4
11/27/2025 4:54:39.313000000 PM,4
11/27/2025 4:54:39.423000000 PM,3
11/27/2025 4:54:39.538000000 PM,3
11/27/2025 4:54:39.649000000 PM,2
11/27/2025 4:54:39.763000000 PM,4
11/27/2025 4:54:39.874000000 PM,2
11/27/2025 4:54:39.989000000 PM,4
11/27/2025 4:54:40.099000000 PM,3
11/27/2025 4:54:40.214000000 PM,3
11/27/2025 4:54:40.324000000 PM,3
11/27/2025 4:54:40.439000000 PM,3
11/27/2025 4:54:40.550000000 PM,3
11/27/2025 4:54:40.660000000 PM,3
11/27/2025 4:54:40.775000000 PM,3
11/27/2025 4:54:40.886000000 PM,3
11/27/2025 4:54:41.000000000 PM,3
11/27/2025 4:54:41.111000000 PM,3
11/27/2025 4:54:41.226000000 PM,3
11/27/2025 4:54:41.336000000 PM,4
11/27/2025 4:54:41.451000000 PM,4
11/27/2025 4:54:41.561000000 PM,4
11/27/2025 4:54:41.676000000 PM,3
11/27/2025 4:54:41.787000000 PM,3
11/27/2025 4:54:41.901000000 PM,3
11/27/2025 4:54:42.012000000 PM,4
11/27/2025 4:54:42.123000000 PM,3
11/27/2025 4:54:42.237000000 PM,3
11/27/2025 4:54:42.348000000 PM,3
11/27/2025 4:54:42.463000000 PM,3
11/27/2025 4:54:42.573000000 PM,3
11/27/2025 4:54:42.688000000 PM,2
11/27/2025 4:54:42.798000000 PM,4
11/27/2025 4:54:42.913000000 PM,3
11/27/2025 4:54:43.024000000 PM,4
11/27/2025 4:54:43.138000000 PM,3
11/27/2025 4:54:43.249000000 PM,3
11/27/2025 4:54:43.364000000 PM,3
11/27/2025 4:54:43.474000000 PM,3
11/27/2025 4:54:43.589000000 PM,3
11/27/2025 4:54:43.700000000 PM,3
11/27/2025 4:54:43.810000000 PM,3
11/27/2025 4:54:43.925000000 PM,3
11/27/2025 4:54:44.035000000 PM,3
11/27/2025 4:54:44.150000000 PM,4
11/27/2025 4:54:44.261000000 PM,4
11/27/2025 4:54:44.375000000 PM,3
11/27/2025 4:54:44.486000000 PM,3
11/27/2025 4:54:44.601000000 PM,4
11/27/2025 4:54:44.711000000 PM,3
11/27/2025 4:54:44.826000000 PM,3
11/27/2025 4:54:44.936000000 PM,3
11/27/2025 4:54:45.051000000 PM,3
11/27/2025 4:54:45.162000000 PM,4
11/27/2025 4:54:45.272000000 PM,4
11/27/2025 4:54:45.387000000 PM,3
11/27/2025 4:54:45.498000000 PM,3
11/27/2025 4:54:45.612000000 PM,3
11/27/2025 4:54:45.723000000 PM,3
11/27/2025 4:54:45.838000000 PM,3
11/27/2025 4:54:45.949000000 PM,3
11/27/2025 4:54:46.063000000 PM,3
11/27/2025 4:54:46.173000000 PM,5
11/27/2025 4:54:46.288000000 PM,3
11/27/2025 4:54:46.399000000 PM,3
11/27/2025 4:54:46.513000000 PM,3
11/27/2025 4:54:46.624000000 PM,3
11/27/2025 4:54:46.739000000 PM,4
11/27/2025 4:54:46.849000000 PM,4
11/27/2025 4:54:46.960000000 PM,3
11/27/2025 4:54:47.075000000 PM,4
11/27/2025 4:54:47.185000000 PM,3
11/27/2025 4:54:47.300000000 PM,3
11/27/2025 4:54:47.410000000 PM,3
11/27/2025 4:54:47.525000000 PM,3
11/27/2025 4:54:47.636000000 PM,3
11/27/2025 4:54:47.750000000 PM,3
